Stop,Business Name,Location,City,Notes,Date,Facility Type,Follow-up Needed,Lead,Client
526,,1440 Vine St,Denver,,,,,,
527,Rose Medical Center,"4567 E 9th Ave, Denver, CO 80220",Denver,Hospital,Yes,Yes,,,
528,Rose Medical Plaza II,"4700 E Hale Pkwy, Denver, CO 80220",Denver,Medical Office,Yes,No,,,
529,HealthONE Rose Women's Hospital,"4700 Hale Pkwy #500, Denver, CO 80220",Denver,Women's Health,Yes,No,,,
530,Rocky Mountain Cancer Centers,"4700 Hale Pkwy #400, Denver, CO 80220",Denver,Cancer Center,Yes,No,,,
531,Porter Hospice at Johnson Center,"5020 E Arapahoe Rd, Littleton, CO 80122",Littleton,Hospice,Yes,No,,,
532,Suites At Clermont Park Care Center,"2480 S Clermont St, Denver, CO 80222",Denver,SUCCESS,,,,,
533,South Valley Post Acute Rehabilitation,"4450 E Jewell Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
534,Rowan Community Inc,"4601 E Asbury Cir, Denver, CO 80222",Denver,SUCCESS,,,,,
535,Amberwood Post Acute,"4686 E Asbury Cir, Denver, CO 80222",Denver,SUCCESS,,,,,
536,Brookshire House Rehabilitation And Care Community,"4660 E Asbury Cir, Denver, CO 80222",Denver,SUCCESS,,,,,
537,Highline Post Acute,"6060 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
538,Holly Heights Care Center,"6000 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
539,Aspen Siesta,"5353 E Yale Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
540,Clermont Park Center,"2479 S Clermont St, Denver, CO 80222",Denver,SUCCESS,,,,,
541,Brookdale Mountain View,"4500 E Dartmouth Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
542,Rosemark Senior Living,"4855 S Niagara St, Denver, CO 80237",Denver,SUCCESS,,,,,
543,Rose Medical Center,"4567 E Ninth Ave, Denver, CO 80220",Denver,SUCCESS,,,,,
544,National Jewish Health,"1400 Jackson St, Denver, CO 80206",Denver,SUCCESS,,,,,
545,Panorama Orthopedics & Spine Center,"4900 S Monaco St, Denver, CO 80237",Denver,SUCCESS,,,,,
546,Artesia Assisted Living Residence – Arkansas,"3105 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
547,Artesia Assisted Living Residence – Arkansas East,"3185 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
548,Garden Terrace Alzheimers Center of Excellence,"5110 Morrison Rd, Denver, CO 80219",Denver,SUCCESS,,,,,
549,Sloan's Lake Rehabilitation Center,"1601 Lowell Blvd, Denver, CO 80204",Denver,SUCCESS,,,,,
550,Denver Health – Outpatient Behavioral Health Services,"2201 N Downing St, Denver, CO 80205",Denver,SUCCESS,,,,,
551,St Joseph Hospital – Medical Offices Pavilion,"1601 E 19th Ave Ste 6000, Denver, CO 80218",Denver,SUCCESS,,,,,
552,HealthONE – Colorado Pulmonary Specialists,"301 S Harrison St, Denver, CO 80209",Denver,SUCCESS,,,,,
553,Monaco Park Health and Rehabilitation Center,"290 S Monaco St Pkwy, Denver, CO 80224",Denver,SUCCESS,,,,,
554,American Legion Post 1 – Lowry,"7465 E First Ave, Denver, CO 80230",Denver,SUCCESS,,,,,
555,Garden Terrace Care Center at Mississippi,"8101 E Mississippi Ave, Denver, CO 80247",Denver,SUCCESS,,,,,
556,Cherry Creek Nursing Center,"2440 S Wabash St, Denver, CO 80231",Denver,SUCCESS,,,,,
557,Garden Terrace Care Center at Roslyn,"2500 S Roslyn St, Denver, CO 80231",Denver,SUCCESS,,,,,
558,American Legion Post 1 – Yale,"5400 E Yale Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
559,Woodland Hills Senior Living,"2500 S Roslyn St, Denver, CO 80231",Denver,SUCCESS,,,,,
560,Colorado Visiting Nurse Association,"1950 S Quebec St, Denver, CO 80231",Denver,SUCCESS,,,,,
561,Sandstone Care Recovery Center,"4650 Central Park Blvd, Denver, CO 80238",Denver,SUCCESS,,,,,
562,Denver Recovery Group,"1440 Vine St, Denver, CO 80206",Denver,SUCCESS,,,,,
563,Center at Lincoln,"1000 Lincoln St, Denver, CO 80203",Denver,SUCCESS,,,,,
564,Artesia Assisted Living – West Arkansas,"3105 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
565,Artesia Assisted Living – East Arkansas,"3185 W Arkansas Ave, Denver, CO 80219",Denver,SUCCESS,,,,,
566,Garden Terrace Alzheimer's Center of Excellence,"3701 W Radcliff Ave, Denver, CO 80236",Denver,SUCCESS,,,,,
567,Autumn Heights Health Care Center,"3131 S Federal Blvd, Denver, CO 80236",Denver,SUCCESS,,,,,
568,Bella Vita Senior Living,"2190 S Platte River Dr, Denver, CO 80223",Denver,SUCCESS,,,,,
569,University Hills Internal Medicine,"2100 S Josephine St, Denver, CO 80210",Denver,SUCCESS,,,,,
570,Highline Post Acute,"6060 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
571,Holly Heights Care Center,"6000 E Iliff Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
572,American Legion Post 1,"5400 E Yale Ave, Denver, CO 80222",Denver,SUCCESS,,,,,
573,Emergency Room,02 Amberwood Post,Colorado Springs,ETA 4:53 PM 6m 1.87 mi.,,,,,
574,Healthcare Facility,5631 E Cornell Ave,Colorado Springs,,,,,,
575,Emergency Room,2480 S Clermont St,Colorado Springs,,,,,,
576,Healthcare Facility,4450 E Jewell Ave,Colorado Springs,,,,,,
577,Healthcare Facility,6060 E Iliff Ave,Colorado Springs,,,,,,
578,Healthcare Facility,6000 E Iliff Ave,Colorado Springs,,,,,,
579,Healthcare Facility,5353 E Yale Ave,Colorado Springs,,,,,,
580,Healthcare Facility,1421 Pontiac St,Colorado Springs,SKIPPED,,,,,
581,Healthcare Facility,1411 S Potomac St,Colorado Springs,SKIPPED,,,,,
582,Emergency Room,5631 E Cornell Ave,Denver,"From: 5631 E Cornell Ave, Denver CO 80222, United States Departure Time: October 22, 2025 4:38 PM To: 5631 E Cornell Ave, Denver CO 80222, United States Arrive Time: October 22, 2025 5:12 PM Done Success Failed Travel Time Est. Distance",,,,,
